arch,dtype,K,V,BT,H,Hg,T_flat,N,head_seqlen,mid_seqlen,tail_seqlen,use_g,use_gk,use_h0,store_fs,save_vn,is_varlen,wu_contig,BV,duration
gfx950,torch.bfloat16,128,128,64,32,16,32720,8,780,5000,1940,True,False,True,True,True,True,True,64,432.4003
gfx950,torch.bfloat16,128,128,64,32,16,32713,7,3060,5000,4653,True,False,True,True,True,True,True,64,430.5171
gfx950,torch.bfloat16,128,128,64,32,16,10347,3,347,5000,5000,True,False,True,True,True,True,True,32,236.6115
gfx950,torch.bfloat16,128,128,64,32,16,32738,7,3982,5000,3756,True,False,True,True,True,True,True,64,431.4499
gfx950,torch.bfloat16,128,128,64,32,16,32732,8,1244,5000,1488,True,False,True,True,True,True,True,64,431.2899
gfx950,torch.bfloat16,128,128,64,32,16,32725,7,3512,5000,4213,True,False,True,True,True,True,True,64,430.1299
gfx950,torch.bfloat16,128,128,64,32,16,32719,8,787,5000,1932,True,False,True,True,True,True,True,64,433.6747
gfx950,torch.bfloat16,128,128,64,32,16,32712,7,3068,5000,4644,True,False,True,True,True,True,True,64,430.3459
gfx950,torch.bfloat16,128,128,64,32,16,5356,2,356,0,5000,True,False,True,True,True,True,True,16,138.7103
gfx950,torch.bfloat16,128,128,64,32,16,32737,7,3986,5000,3751,True,False,True,True,True,True,True,64,431.1699
gfx950,torch.bfloat16,128,128,64,32,16,32731,8,1249,5000,1482,True,False,True,True,True,True,True,64,432.3379
gfx950,torch.bfloat16,128,128,64,32,16,32724,7,3518,5000,4206,True,False,True,True,True,True,True,64,430.9131
gfx950,torch.bfloat16,128,128,64,32,16,32718,8,794,5000,1924,True,False,True,True,True,True,True,64,433.4107
gfx950,torch.bfloat16,128,128,64,32,16,32711,7,3076,5000,4635,True,False,True,True,True,True,True,64,430.8875
gfx950,torch.bfloat16,128,128,64,32,16,365,1,365,0,0,True,False,True,True,True,True,True,16,14.5248
gfx950,torch.bfloat16,128,128,64,32,16,32762,7,5000,5000,2762,True,False,True,True,True,True,True,64,432.1347
gfx950,torch.bfloat16,128,128,64,32,16,32756,8,2238,5000,518,True,False,True,True,True,True,True,64,433.7555
gfx950,torch.bfloat16,128,128,64,32,16,32749,7,4482,5000,3267,True,False,True,True,True,True,True,64,432.3443
gfx950,torch.bfloat16,128,128,64,32,16,32743,8,1733,5000,1010,True,False,True,True,True,True,True,64,431.8618
gfx950,torch.bfloat16,128,128,64,32,16,32736,7,3990,5000,3746,True,False,True,True,True,True,True,64,431.2635
gfx950,torch.bfloat16,128,128,64,32,16,32730,8,1254,5000,1476,True,False,True,True,True,True,True,64,433.6771
gfx950,torch.bfloat16,128,128,64,32,16,32723,7,3524,5000,4199,True,False,True,True,True,True,True,64,429.5595
gfx950,torch.bfloat16,128,128,64,32,16,32717,8,801,5000,1916,True,False,True,True,True,True,True,64,431.9131
gfx950,torch.bfloat16,128,128,64,32,16,28084,6,3084,5000,5000,True,False,True,True,True,True,True,64,418.8201
gfx950,torch.bfloat16,128,128,64,32,16,25000,5,5000,5000,5000,True,False,True,True,True,True,True,64,407.6560
gfx950,torch.bfloat16,128,128,64,32,16,32753,7,5000,5000,2753,True,False,True,True,True,True,True,64,430.9915
gfx950,torch.bfloat16,128,128,64,32,16,32747,8,2247,5000,500,True,False,True,True,True,True,True,64,433.1083
gfx950,torch.bfloat16,128,128,64,32,16,32740,7,4500,5000,3240,True,False,True,True,True,True,True,64,428.5730
gfx950,torch.bfloat16,128,128,64,32,16,32734,8,1760,5000,974,True,False,True,True,True,True,True,64,430.9507
gfx950,torch.bfloat16,128,128,64,32,16,32727,7,4026,5000,3701,True,False,True,True,True,True,True,64,431.9731
gfx950,torch.bfloat16,128,128,64,32,16,32721,8,1299,5000,1422,True,False,True,True,True,True,True,64,434.6971
gfx950,torch.bfloat16,128,128,64,32,16,32714,7,3578,5000,4136,True,False,True,True,True,True,True,64,430.0819
gfx950,torch.bfloat16,128,128,64,32,16,15864,4,864,5000,5000,True,False,True,True,True,True,True,64,282.0065
gfx950,torch.bfloat16,128,128,64,32,16,15000,15,1000,1000,1000,True,False,True,True,True,True,True,64,193.9717
gfx950,torch.bfloat16,128,128,64,32,16,14000,14,1000,1000,1000,True,False,True,True,True,True,True,64,189.1725
gfx950,torch.bfloat16,128,128,64,32,16,13000,13,1000,1000,1000,True,False,True,True,True,True,True,64,184.7029
gfx950,torch.bfloat16,128,128,64,32,16,19000,19,1000,1000,1000,True,False,True,True,True,True,True,64,263.8102
gfx950,torch.bfloat16,128,128,64,32,16,2000,2,1000,0,1000,True,False,True,True,True,True,True,32,39.3155
gfx950,torch.bfloat16,128,128,64,32,16,27000,27,1000,1000,1000,True,False,True,True,True,True,True,64,354.0122
gfx950,torch.bfloat16,128,128,64,32,16,8000,8,1000,1000,1000,True,False,True,True,True,True,True,64,102.0666
gfx950,torch.bfloat16,128,128,64,32,16,4000,4,1000,1000,1000,True,False,True,True,True,True,True,64,55.0309
gfx950,torch.bfloat16,128,128,64,32,16,18950,2,8950,0,10000,True,False,True,True,True,True,True,32,446.2364
gfx950,torch.bfloat16,128,128,64,32,16,8954,1,8954,0,0,True,False,True,True,True,True,True,16,315.0308
gfx950,torch.bfloat16,128,128,64,32,16,21717,3,1717,10000,10000,True,False,True,True,True,True,True,32,481.3033
gfx950,torch.bfloat16,128,128,64,32,16,11717,2,1717,0,10000,True,False,True,True,True,True,True,16,381.6429
gfx950,torch.bfloat16,128,128,64,32,16,32754,4,8950,10000,3804,True,False,True,True,True,True,True,64,549.6609
gfx950,torch.bfloat16,128,128,64,32,16,32751,4,6196,10000,6555,True,False,True,True,True,True,True,64,546.8777
gfx950,torch.bfloat16,128,128,64,32,16,32748,4,3445,10000,9303,True,False,True,True,True,True,True,64,549.1321
